user_id,date,sessions,screen_time_min,country
777,2024-01-23,1,23.02,France
346,2024-01-16,1,86.5,Poland
565,2024-03-01,1,67.03,UK
898,2024-03-08,1,103.28,USA
340,2024-03-20,4,14.33,USA
92,2024-01-31,5,102.02,Poland
367,2024-02-22,1,38.73,Poland
956,2024-01-25,3,80.31,France
455,2024-02-13,4,9.61,Poland
428,2024-01-12,5,75.1,UK
509,2024-03-30,1,87.49,France
776,2024-01-09,5,47.41,France
943,2024-01-12,3,29.77,France
35,2024-03-09,4,66.83,USA
206,2024-02-23,4,100.82,USA
81,2024-02-23,5,42.21,France
932,2024-01-28,1,34.03,UK
562,2024-02-25,2,37.08,Germany
872,2024-03-09,4,114.15,France
388,2024-03-17,2,46.32,Poland
2,2024-02-27,4,5.41,Germany
390,2024-03-18,1,94.89,USA
566,2024-03-15,1,85.42,USA
106,2024-02-11,4,19.79,Germany
772,2024-02-07,5,118.26,Poland
822,2024-03-08,1,74.93,USA
477,2024-02-22,1,62.59,USA
703,2024-02-02,3,48.96,France
402,2024-03-11,1,108.35,UK
730,2024-02-25,3,33.06,Poland
556,2024-03-12,1,37.86,France
162,2024-02-20,1,19.08,UK
202,2024-03-14,5,92.3,USA
958,2024-02-12,5,73.49,UK
996,2024-01-15,1,75.04,USA
270,2024-02-07,4,30.12,France
863,2024-01-15,4,79.88,USA
816,2024-01-05,1,93.03,UK
271,2024-03-23,4,46.16,France
456,2024-02-23,1,97.15,UK
462,2024-02-20,5,45.11,UK
727,2024-01-10,2,92.19,Germany
252,2024-01-12,3,8.88,USA
702,2024-01-04,4,68.38,USA
296,2024-01-18,4,116.5,UK
725,2024-03-20,5,117.84,USA
720,2024-02-05,4,37.4,Poland
749,2024-01-25,1,55.76,USA
338,2024-03-27,1,12.24,France
879,2024-03-16,2,105.43,USA
53,2024-02-05,2,70.39,Poland
792,2024-03-07,2,49.29,UK
922,2024-01-09,1,17.97,USA
217,2024-03-01,2,113.88,France
764,2024-02-22,2,65.98,Poland
188,2024-01-18,1,37.54,Germany
380,2024-02-12,5,45.27,UK
493,2024-02-04,4,36.13,UK
41,2024-03-03,3,74.21,UK
157,2024-03-18,1,111.95,Poland
15,2024-01-04,1,103.52,USA
813,2024-02-10,3,57.94,USA
65,2024-02-14,3,100.05,USA
857,2024-02-19,2,53.66,USA
839,2024-03-19,3,34.02,UK
521,2024-01-28,4,118.09,Germany
344,2024-02-11,4,39.95,UK
129,2024-03-20,4,42.23,Germany
648,2024-03-16,4,118.81,Germany
472,2024-03-09,4,20.4,USA
63,2024-01-01,2,92.46,France
139,2024-02-08,1,112.62,Poland
499,2024-03-30,3,63.86,France
593,2024-01-17,1,5.29,Germany
392,2024-03-28,3,48.13,France
675,2024-02-04,2,17.83,Germany
419,2024-02-15,2,52.86,UK
289,2024-02-11,5,95.85,UK
379,2024-02-08,5,55.45,USA
773,2024-03-30,2,54.67,Poland
490,2024-02-18,2,69.03,UK
231,2024-03-02,3,71.89,Poland
41,2024-02-07,2,103.47,USA
28,2024-01-23,1,40.46,Poland
135,2024-01-22,3,99.49,UK
201,2024-01-04,2,70.08,UK
840,2024-02-18,3,39.56,France
780,2024-02-28,3,38.94,France
930,2024-03-13,4,46.53,France
33,2024-03-08,5,76.61,Poland
48,2024-03-11,3,31.54,UK
503,2024-03-27,3,110.84,USA
407,2024-01-02,4,71.11,Germany
574,2024-02-18,2,110.8,UK
728,2024-03-28,3,10.34,France
805,2024-01-31,4,44.4,France
99,2024-02-09,1,7.62,Poland
684,2024-02-17,4,36.31,France
872,2024-02-20,5,104.13,Poland
726,2024-02-12,5,9.21,USA
987,2024-02-24,2,55.16,France
547,2024-03-28,2,18.52,Poland
961,2024-02-18,5,52.94,France
739,2024-03-30,5,101.47,Poland
613,2024-03-20,3,76.65,UK
943,2024-02-26,5,89.73,Poland
462,2024-03-17,2,45.15,Germany
643,2024-01-15,5,113.61,USA
769,2024-01-27,2,86.57,UK
5,2024-03-08,1,53.51,USA
218,2024-03-20,5,54.04,UK
503,2024-03-04,2,110.65,France
767,2024-01-30,4,71.29,Poland
398,2024-02-05,3,86.23,France
871,2024-03-07,2,52.96,USA
795,2024-03-26,5,30.72,USA
393,2024-03-26,5,88.21,UK
207,2024-02-18,1,74.9,USA
15,2024-03-16,4,62.65,Poland
858,2024-02-24,2,76.76,USA
554,2024-03-25,4,28.95,France
892,2024-02-25,1,96.3,Poland
461,2024-03-08,3,114.04,USA
691,2024-02-13,4,107.48,Germany
575,2024-01-31,1,41.97,Germany
864,2024-02-27,2,51.69,France
743,2024-03-27,3,97.97,UK
241,2024-02-22,5,73.44,UK
564,2024-03-24,1,68.01,USA
96,2024-03-19,5,111.56,Poland
900,2024-01-23,3,66.64,UK
734,2024-01-28,1,64.22,Germany
485,2024-01-16,1,9.83,UK
407,2024-02-06,3,12.98,Germany
231,2024-01-21,2,5.85,UK
749,2024-03-19,1,110.02,France
655,2024-01-17,3,51.96,Poland
171,2024-02-06,4,58.88,USA
541,2024-03-17,5,102.22,Germany
36,2024-01-19,1,75.06,UK
525,2024-01-30,4,75.09,USA
160,2024-02-14,1,39.1,Germany
839,2024-01-18,2,100.9,Germany
699,2024-03-18,3,24.07,France
243,2024-03-02,1,11.11,UK
86,2024-02-05,3,27.03,USA
796,2024-03-24,1,35.79,UK
578,2024-02-21,2,37.47,UK
682,2024-01-19,2,82.11,Poland
557,2024-02-13,4,30.05,Germany
574,2024-01-07,2,82.82,Germany
953,2024-02-13,3,15.48,Poland
646,2024-03-08,2,21.93,Poland
796,2024-02-03,1,63.51,UK
28,2024-03-06,2,111.02,Germany
620,2024-03-09,3,103.85,USA
556,2024-02-24,1,116.41,France
340,2024-01-10,4,79.81,Poland
798,2024-02-11,4,82.72,USA
958,2024-02-10,4,76.88,USA
331,2024-03-17,1,76.62,UK
640,2024-03-09,4,21.92,Poland
506,2024-01-10,2,67.53,USA
348,2024-01-10,1,49.4,France
473,2024-02-29,1,55.89,USA
231,2024-02-20,1,65.21,France
190,2024-01-21,5,19.77,France
225,2024-01-08,3,46.34,France
385,2024-03-05,5,12.3,Poland
377,2024-03-18,5,117.66,France
283,2024-03-25,5,18.63,Poland
958,2024-01-30,3,34.73,USA
633,2024-03-25,5,107.5,France
628,2024-02-18,4,60.51,Germany
973,2024-01-09,1,20.6,USA
745,2024-01-17,1,49.19,Germany
259,2024-03-09,2,18.32,Germany
359,2024-02-27,4,28.02,UK
710,2024-02-26,3,10.98,Poland
456,2024-03-02,1,55.4,UK
411,2024-02-21,5,97.76,Poland
649,2024-03-01,2,72.39,UK
318,2024-02-09,2,74.73,USA
677,2024-02-07,1,28.07,Germany
225,2024-02-12,4,44.55,USA
819,2024-03-03,2,102.2,Poland
234,2024-01-19,1,15.1,Germany
684,2024-02-19,4,103.66,Germany
664,2024-02-02,1,60.62,Poland
975,2024-01-13,1,101.27,USA
827,2024-03-18,4,41.57,Germany
374,2024-03-02,4,43.97,USA
672,2024-02-12,4,91.43,USA
608,2024-02-18,1,95.27,USA
472,2024-02-05,2,31.41,Germany
233,2024-01-10,3,116.88,France
692,2024-01-06,3,14.72,UK
113,2024-02-26,1,12.88,Poland
830,2024-01-01,1,73.48,USA
497,2024-03-11,2,88.12,Germany
442,2024-02-27,4,115.5,Poland
564,2024-01-21,1,51.57,France
268,2024-03-20,5,7.91,France
510,2024-02-25,4,74.33,Germany
807,2024-03-27,1,38.32,USA
386,2024-01-20,5,54.79,France
387,2024-02-23,2,61.17,France
113,2024-01-25,5,12.42,France
613,2024-01-28,1,60.89,Germany
625,2024-01-05,3,54.03,Poland
952,2024-01-21,1,86.94,UK
81,2024-01-18,3,79.25,Germany
699,2024-02-16,2,26.3,USA
113,2024-03-10,2,28.71,Germany
2,2024-02-26,4,33.87,Germany
642,2024-01-19,4,25.58,UK
220,2024-03-05,3,80.58,UK
566,2024-01-03,3,119.36,UK
855,2024-02-11,2,79.99,Poland
997,2024-01-21,5,74.77,Germany
736,2024-02-09,3,52.14,USA
225,2024-03-07,3,40.95,UK
385,2024-01-25,5,109.77,UK
403,2024-02-24,4,116.44,Germany
638,2024-03-24,4,62.13,USA
130,2024-02-21,3,38.37,UK
53,2024-02-13,4,93.56,Germany
684,2024-03-25,4,20.23,France
730,2024-02-25,4,93.04,Poland
672,2024-02-24,2,99.18,Germany
710,2024-03-27,1,19.36,UK
416,2024-03-10,3,117.34,USA
247,2024-03-17,3,118.33,France
836,2024-03-27,2,112.72,USA
439,2024-03-13,1,62.04,USA
203,2024-03-21,1,33.3,USA
184,2024-03-06,2,71.93,Germany
123,2024-01-19,5,53.29,Germany
401,2024-03-23,5,28.68,Poland
767,2024-01-07,1,53.72,France
294,2024-03-03,5,81.35,USA
280,2024-02-11,5,13.16,UK
837,2024-02-11,5,43.34,USA
884,2024-02-28,1,7.05,France
610,2024-01-20,5,91.19,USA
198,2024-03-13,3,78.68,Germany
982,2024-01-17,1,12.21,Germany
907,2024-01-27,2,115.94,France
511,2024-02-16,5,7.6,Poland
752,2024-01-02,4,72.85,USA
144,2024-03-03,1,94.28,France
609,2024-03-02,2,95.61,UK
201,2024-01-19,3,8.94,UK
124,2024-01-17,2,109.24,Poland
187,2024-03-09,5,110.62,Germany
326,2024-02-08,4,69.56,France
464,2024-03-22,5,60.44,USA
349,2024-03-11,2,10.16,France
771,2024-03-21,1,69.62,Poland
660,2024-02-08,4,52.08,France
764,2024-02-05,4,93.87,Poland
955,2024-02-09,2,51.45,Poland
932,2024-02-14,5,83.61,Poland
403,2024-01-04,2,16.66,France
346,2024-01-25,4,20.29,UK
963,2024-03-09,2,21.07,USA
511,2024-01-30,4,10.24,Poland
147,2024-03-16,5,67.25,Germany
148,2024-03-08,1,96.31,Poland
864,2024-03-28,1,75.2,France
711,2024-01-29,2,71.12,Poland
820,2024-03-13,4,83.27,Germany
489,2024-03-08,1,44.06,UK
929,2024-02-20,4,46.62,France
936,2024-01-24,5,41.14,France
640,2024-01-14,2,86.89,France
551,2024-03-09,4,23.59,Germany
338,2024-01-18,2,6.5,France
872,2024-02-11,4,73.56,UK
641,2024-02-26,4,113.37,USA
779,2024-03-23,5,75.08,USA
988,2024-01-12,2,95.04,Poland
953,2024-03-22,3,82.37,USA
473,2024-01-17,4,62.21,Germany
946,2024-01-30,4,87.62,USA
151,2024-03-28,1,99.77,Germany
415,2024-03-15,2,30.84,Germany
990,2024-01-23,3,43.66,Poland
298,2024-03-21,5,30.73,USA
611,2024-01-01,3,57.0,Poland
263,2024-03-19,5,106.78,France
764,2024-02-01,3,44.7,UK
144,2024-01-09,3,48.06,USA
346,2024-01-15,2,103.94,France
624,2024-01-28,1,64.27,France
572,2024-01-24,3,66.58,Poland
881,2024-02-29,4,103.99,Poland
2,2024-02-04,4,61.41,UK
897,2024-03-26,4,83.38,UK
304,2024-01-27,1,14.85,UK
254,2024-03-23,3,25.54,UK
652,2024-03-16,5,51.5,Poland
453,2024-01-20,5,61.91,Germany
37,2024-03-05,2,116.06,Poland
160,2024-03-25,1,116.62,Germany
9,2024-02-18,3,102.89,Poland
233,2024-01-01,4,41.29,Poland
99,2024-01-10,1,115.86,UK
659,2024-02-16,1,84.27,Germany
816,2024-02-28,3,50.19,France
208,2024-03-02,2,85.69,France
131,2024-03-26,2,6.9,France
404,2024-01-18,2,21.81,UK
152,2024-02-15,4,100.41,France
54,2024-02-01,4,79.24,Poland
120,2024-01-27,3,46.88,UK
673,2024-01-18,2,62.58,France
920,2024-02-08,3,109.09,UK
628,2024-02-18,2,77.63,Poland
587,2024-03-22,1,50.79,UK
625,2024-02-13,5,18.84,France
968,2024-03-12,5,38.78,UK
420,2024-02-23,2,117.51,USA
422,2024-02-03,3,55.3,France
104,2024-03-11,4,59.26,Poland
852,2024-02-05,2,62.34,Germany
254,2024-01-18,2,106.67,UK
227,2024-02-07,4,74.45,UK
112,2024-02-28,2,84.77,France
510,2024-01-09,1,49.78,France
473,2024-03-13,4,8.35,USA
99,2024-03-12,1,112.06,Poland
153,2024-02-20,5,114.15,UK
861,2024-02-04,4,114.15,UK
914,2024-03-22,4,113.52,Germany
896,2024-01-05,3,98.75,UK
878,2024-01-14,3,83.73,UK
338,2024-01-30,4,102.12,USA
706,2024-01-04,5,74.06,Germany
822,2024-02-08,2,20.45,UK
163,2024-03-24,3,49.99,UK
720,2024-03-04,5,116.7,Poland
957,2024-01-25,5,45.38,UK
681,2024-01-28,3,104.8,USA
996,2024-03-16,2,15.72,UK
161,2024-03-06,3,43.43,UK
580,2024-03-18,5,45.36,France
801,2024-01-22,1,10.93,UK
398,2024-01-31,3,18.7,Germany
277,2024-01-23,5,27.21,France
816,2024-02-17,3,101.35,Germany
916,2024-01-20,5,12.29,Germany
504,2024-02-07,2,39.35,USA
896,2024-02-24,5,6.17,UK
392,2024-03-08,4,85.0,Germany
135,2024-03-19,1,76.33,UK
195,2024-03-28,5,79.17,UK
401,2024-03-29,3,48.05,USA
640,2024-01-01,3,28.95,USA
33,2024-01-07,5,87.84,Germany
688,2024-02-26,4,98.28,Germany
460,2024-01-12,5,20.94,France
955,2024-01-05,2,60.99,UK
883,2024-02-19,4,33.6,UK
470,2024-02-11,5,24.33,USA
375,2024-01-12,1,89.45,USA
22,2024-01-18,4,66.88,Germany
750,2024-03-06,5,29.86,France
670,2024-03-14,1,40.65,France
38,2024-03-19,5,116.17,USA
230,2024-01-17,2,102.6,USA
365,2024-03-08,3,106.19,France
563,2024-03-11,5,57.9,France
438,2024-03-02,4,76.74,Germany
776,2024-02-10,5,48.33,France
283,2024-02-03,5,13.94,UK
27,2024-03-10,5,51.12,France
226,2024-02-14,5,73.31,Poland
277,2024-02-27,4,38.02,France
798,2024-02-20,4,102.51,USA
609,2024-02-03,5,22.38,USA
284,2024-02-13,3,47.22,Poland
879,2024-01-15,5,19.36,UK
960,2024-03-18,4,51.56,France
481,2024-03-10,2,9.56,France
453,2024-02-19,5,36.34,Poland
829,2024-02-01,5,51.08,Germany
816,2024-03-07,5,59.99,Germany
659,2024-01-03,5,67.53,UK
516,2024-03-26,1,36.62,France
547,2024-03-26,5,65.15,France
192,2024-03-14,4,63.54,France
49,2024-02-20,4,41.36,USA
512,2024-03-07,1,100.47,Germany
17,2024-03-16,5,67.75,Poland
172,2024-02-17,3,43.21,USA
220,2024-01-17,5,113.94,USA
158,2024-01-07,4,102.19,Germany
477,2024-01-13,2,118.0,France
46,2024-03-06,2,84.61,UK
373,2024-01-04,3,48.5,Poland
518,2024-01-10,5,37.3,Germany
99,2024-03-28,1,81.28,UK
892,2024-01-17,5,117.79,Germany
745,2024-02-21,3,77.07,Germany
37,2024-01-06,3,106.39,Germany
280,2024-03-23,3,42.85,Germany
349,2024-03-09,2,51.8,France
497,2024-03-14,5,109.22,USA
302,2024-01-09,5,92.04,Germany
181,2024-03-17,1,117.86,UK
607,2024-03-23,3,94.1,UK
99,2024-01-21,3,56.58,UK
700,2024-01-24,4,66.07,USA
993,2024-01-04,4,108.56,USA
116,2024-01-24,2,68.44,UK
191,2024-02-28,5,34.37,France
253,2024-01-03,1,55.1,USA
981,2024-03-08,1,64.38,USA
928,2024-02-09,3,16.12,France
983,2024-02-17,1,90.53,Germany
161,2024-02-23,3,17.58,USA
256,2024-02-04,5,51.57,UK
323,2024-02-25,1,97.53,UK
128,2024-03-29,3,58.77,France
18,2024-02-09,5,101.83,UK
793,2024-03-17,5,44.32,Poland
735,2024-03-08,3,115.13,UK
566,2024-02-15,3,29.09,France
570,2024-03-18,2,9.4,France
323,2024-01-13,5,105.33,France
872,2024-01-27,3,91.5,Poland
686,2024-01-06,5,31.68,USA
792,2024-01-17,1,118.25,Germany
626,2024-02-05,4,62.76,UK
288,2024-03-21,4,114.37,USA
943,2024-01-02,3,63.08,France
854,2024-03-17,3,59.27,USA
663,2024-02-21,5,56.65,USA
962,2024-03-06,3,43.51,Poland
639,2024-02-21,5,66.38,France
155,2024-02-12,3,57.04,France
490,2024-03-30,5,9.23,UK
386,2024-01-22,3,34.95,UK
986,2024-02-24,2,29.51,UK
785,2024-03-07,5,104.76,UK
104,2024-02-29,2,73.87,USA
929,2024-02-27,2,92.82,USA
393,2024-01-12,2,115.03,UK
811,2024-03-28,2,79.06,UK
246,2024-03-09,1,118.0,UK
176,2024-03-24,4,40.85,Germany
39,2024-02-08,1,26.42,UK
477,2024-01-13,3,51.38,Germany
682,2024-02-10,3,59.14,UK
759,2024-02-26,4,107.97,France
538,2024-02-22,4,69.39,Poland
867,2024-01-12,4,38.6,USA
818,2024-01-13,2,90.4,France
921,2024-03-14,1,63.17,Poland
408,2024-02-26,3,23.65,Germany
525,2024-02-09,1,71.33,USA
828,2024-03-20,1,109.81,Germany
506,2024-02-14,1,101.9,Germany
903,2024-02-04,4,72.48,USA
825,2024-01-03,4,48.36,Poland
36,2024-01-05,3,15.0,USA
685,2024-03-30,3,59.01,UK
20,2024-01-11,3,91.49,Germany
321,2024-03-11,1,46.43,UK
776,2024-02-25,4,32.08,USA
512,2024-01-10,2,112.11,USA
400,2024-02-03,1,99.48,Poland
654,2024-03-07,5,78.4,Germany
972,2024-03-12,1,20.73,France
883,2024-01-31,4,21.66,USA
471,2024-03-15,5,16.87,France
143,2024-03-11,1,75.87,Germany
92,2024-03-06,4,18.29,UK
354,2024-03-10,4,101.9,Germany
834,2024-02-10,2,119.19,Poland
800,2024-03-03,1,47.13,France
727,2024-02-01,4,57.17,France
959,2024-01-20,3,86.84,UK
854,2024-02-26,4,112.77,UK
51,2024-02-19,2,107.82,USA
665,2024-03-20,4,11.62,Germany
698,2024-01-25,1,24.44,Poland
575,2024-01-12,1,91.78,USA
190,2024-03-11,5,84.22,Germany
125,2024-02-08,1,20.32,UK
150,2024-01-17,5,62.74,Poland
314,2024-02-14,3,94.79,UK
570,2024-01-11,2,30.16,UK
342,2024-03-10,3,105.2,France
305,2024-01-23,5,11.09,Germany
692,2024-03-10,4,94.95,USA
682,2024-02-07,4,75.82,France
838,2024-01-02,3,41.25,Germany
783,2024-03-26,4,87.91,Germany
54,2024-03-24,5,94.97,Germany
444,2024-03-29,2,112.4,Poland
613,2024-03-19,1,47.29,France
993,2024-03-12,5,83.89,USA
264,2024-02-06,5,74.3,France
53,2024-02-18,1,65.4,UK
572,2024-02-21,1,107.4,Germany
620,2024-02-02,2,5.36,UK
5,2024-01-22,2,37.44,France
103,2024-01-05,2,66.9,USA
196,2024-01-18,4,25.5,UK
774,2024-02-07,5,109.4,UK
877,2024-02-06,1,79.47,Poland
992,2024-03-04,5,59.96,France
884,2024-01-10,5,98.69,UK
350,2024-03-19,2,56.85,France
47,2024-02-11,2,69.25,USA
867,2024-02-17,5,5.32,UK
823,2024-02-13,2,47.06,USA
936,2024-03-22,4,20.96,UK
820,2024-03-27,1,84.31,Germany
656,2024-01-16,5,60.09,Poland
269,2024-02-23,1,39.7,Poland
370,2024-02-04,4,58.8,Poland
636,2024-01-28,2,29.11,USA
106,2024-01-02,3,111.38,France
670,2024-01-13,4,11.21,Poland
659,2024-02-10,3,104.52,UK
657,2024-03-20,1,63.81,UK
120,2024-02-28,5,76.18,Germany
831,2024-03-09,2,39.8,USA
787,2024-02-22,4,116.17,UK
604,2024-02-14,2,37.41,UK
58,2024-01-20,3,72.72,Germany
951,2024-01-24,3,119.24,Germany
346,2024-03-01,5,106.33,France
741,2024-02-27,3,66.68,France
474,2024-01-27,5,118.89,France
117,2024-01-26,4,85.66,UK
830,2024-01-07,5,29.0,Germany
791,2024-02-11,3,51.64,USA
127,2024-02-16,1,43.47,France
393,2024-02-22,5,44.56,Poland
908,2024-02-28,2,92.45,UK
641,2024-02-07,1,72.19,USA
58,2024-03-09,5,9.38,UK
634,2024-03-27,2,105.91,France
513,2024-02-22,1,39.13,UK
751,2024-01-15,5,119.66,France
802,2024-01-26,4,114.73,UK
96,2024-02-17,2,113.16,France
638,2024-01-19,4,98.28,Germany
118,2024-01-09,3,30.37,Germany
560,2024-03-04,5,66.25,Germany
601,2024-02-23,5,30.79,Germany
488,2024-02-20,2,34.86,Germany
237,2024-02-08,5,75.26,Poland
885,2024-01-04,3,9.7,UK
897,2024-01-03,5,116.49,Germany
272,2024-03-04,1,110.65,Poland
189,2024-01-29,4,48.79,Poland
999,2024-01-11,3,64.27,UK
704,2024-02-27,3,58.6,UK
447,2024-03-15,4,106.45,France
581,2024-01-27,4,84.19,France
790,2024-01-21,3,36.98,Germany
861,2024-02-08,4,56.39,USA
247,2024-02-15,2,54.33,France
963,2024-03-06,4,115.32,USA
76,2024-02-05,1,25.16,France
154,2024-03-15,1,15.3,Poland
656,2024-03-22,2,106.27,Poland
435,2024-03-05,4,108.12,Poland
997,2024-03-03,1,105.25,USA
86,2024-02-04,5,63.76,Germany
697,2024-01-31,4,80.87,France
285,2024-01-28,2,69.79,France
974,2024-01-01,4,12.99,USA
220,2024-01-25,3,73.52,Poland
69,2024-02-12,3,6.57,Germany
47,2024-03-24,1,42.37,France
94,2024-03-07,3,112.21,Germany
750,2024-03-03,2,39.97,Germany
958,2024-02-20,1,113.08,UK
453,2024-01-02,2,33.77,Germany
204,2024-03-22,2,41.17,UK
912,2024-03-04,3,77.27,USA
218,2024-03-14,3,92.59,Poland
474,2024-03-09,2,62.66,UK
432,2024-01-09,3,106.44,Germany
341,2024-01-02,3,9.63,Poland
551,2024-02-03,3,111.05,Germany
612,2024-02-29,4,27.58,Germany
289,2024-03-01,2,106.69,UK
254,2024-01-31,5,51.1,USA
734,2024-01-10,2,100.77,Germany
357,2024-03-16,1,82.24,UK
23,2024-02-05,3,25.23,Germany
762,2024-03-25,3,110.58,Poland
522,2024-02-18,5,33.23,USA
758,2024-03-10,1,33.08,Germany
837,2024-02-18,4,98.63,USA
100,2024-01-03,2,17.18,USA
802,2024-03-14,4,30.53,Poland
180,2024-01-05,1,62.92,Poland
223,2024-03-30,5,100.5,France
906,2024-03-01,1,21.96,USA
762,2024-03-25,5,67.98,Germany
659,2024-03-30,4,86.79,Poland
442,2024-01-26,4,103.97,Germany
608,2024-03-12,1,112.59,USA
769,2024-01-05,1,95.23,Poland
325,2024-01-15,3,80.08,France
516,2024-01-16,5,54.87,USA
16,2024-01-01,3,17.89,Germany
792,2024-01-16,2,86.62,France
336,2024-02-06,2,119.16,USA
759,2024-01-03,1,89.73,Poland
258,2024-02-21,4,6.92,USA
497,2024-02-16,2,62.07,UK
988,2024-01-13,2,75.68,Germany
896,2024-03-20,3,84.31,Poland
160,2024-02-24,3,87.77,Poland
475,2024-01-21,2,69.18,UK
852,2024-03-06,1,30.69,France
664,2024-02-23,3,113.35,Poland
908,2024-01-27,2,85.12,France
690,2024-02-07,4,32.24,France
675,2024-03-30,3,42.07,France
380,2024-02-27,2,111.02,USA
545,2024-03-02,5,107.06,UK
929,2024-02-15,3,51.59,Germany
957,2024-03-29,5,9.41,UK
691,2024-01-11,3,10.58,Poland
427,2024-03-12,3,37.65,UK
613,2024-01-08,5,77.35,Germany
268,2024-03-11,1,72.18,USA
835,2024-03-04,2,77.89,Poland
577,2024-01-21,1,87.49,USA
417,2024-03-12,1,7.19,Poland
168,2024-03-03,2,17.08,Germany
842,2024-03-25,4,46.34,USA
43,2024-03-04,1,22.81,Germany
556,2024-01-20,1,13.66,Germany
285,2024-01-08,1,78.71,UK
397,2024-02-27,4,98.76,Poland
12,2024-02-15,3,91.55,France
607,2024-01-31,5,98.96,France
302,2024-01-09,5,81.57,USA
898,2024-01-15,4,89.56,Germany
253,2024-01-26,1,36.25,UK
499,2024-01-10,5,119.2,Poland
754,2024-01-29,4,26.06,USA
35,2024-03-20,2,29.67,Germany
727,2024-02-05,5,38.23,France
849,2024-03-24,2,117.16,France
90,2024-02-06,1,118.65,Poland
776,2024-03-26,5,96.41,Poland
605,2024-03-11,4,77.34,Poland
922,2024-01-23,3,64.81,USA
970,2024-02-10,5,116.62,Poland
602,2024-03-20,5,85.0,USA
418,2024-01-28,5,113.64,UK
115,2024-02-17,5,41.4,Germany
617,2024-02-07,4,43.38,France
903,2024-01-31,4,103.29,USA
196,2024-01-14,3,22.23,Germany
826,2024-03-13,4,113.78,Poland
501,2024-03-28,4,63.36,France
626,2024-03-17,1,111.54,USA
493,2024-03-30,1,43.73,Poland
75,2024-01-29,2,87.34,Germany
413,2024-02-20,3,60.53,UK
376,2024-02-18,1,77.08,Germany
420,2024-02-12,3,63.0,USA
729,2024-03-12,3,116.22,UK
277,2024-03-27,5,84.59,UK
761,2024-01-05,3,33.9,Poland
676,2024-02-11,5,109.61,Germany
394,2024-01-07,2,38.81,USA
869,2024-02-11,2,47.73,UK
457,2024-02-05,2,16.74,Poland
920,2024-01-27,5,108.5,UK
192,2024-02-27,5,37.9,Germany
739,2024-02-15,2,34.78,France
689,2024-03-06,5,110.83,USA
99,2024-01-25,4,97.64,France
548,2024-03-13,4,21.22,Germany
978,2024-01-27,5,93.47,France
999,2024-01-01,5,110.0,Germany
96,2024-03-27,1,14.03,Germany
664,2024-03-14,1,99.9,Poland
663,2024-02-11,3,67.95,France
190,2024-02-21,3,81.96,UK
736,2024-01-25,3,61.68,Germany
37,2024-02-23,2,85.25,France
780,2024-03-07,4,8.92,UK
369,2024-01-06,2,92.71,USA
